player,session,level,action,time,state,timestamp
191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,0,0,"Inicio del nivel,Player 1: pedro, Player2: nato","2020-11-24 14:05:59.958771"
191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,17,"rocaOro_Sprite, 50, Boton volAcero, Player 0","2020-11-24 14:12:07.495557"
191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,35,"rocaAcero_Sprite, 70, Boton volOro, Player 0","2020-11-24 14:14:22.897135"
191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,49,"roca_Sprite, 30, Boton volPiedra, Player 0","2020-11-24 14:16:03.043172"
191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,57,"rocaDiamante_Sprite, 100, Boton volDiamante, Player 0","2020-11-24 14:16:58.401783"
197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,0,0,"Inicio del nivel,Player 1: Claudio, Player2: Martina","2020-11-24 14:19:56.693493"
191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,90,"rocaOro_Sprite, 50, Boton volOro, Player 0","2020-11-24 14:20:56.782134"
197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,1,227,"rocaAcero_Sprite, 70, Boton volAcero, Player 0","2020-11-24 14:25:24.531956"
191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,134,"rocaAcero_Sprite, 70, Boton volPiedra, Player 0","2020-11-24 14:26:10.448480"
197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,1,277,"rocaOro_Sprite, 50, Boton volOro, Player 0","2020-11-24 14:26:14.696898"
197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,1,322,"rocaDiamante_Sprite, 100, Boton volDiamante, Player 0","2020-11-24 14:26:58.979894"
197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,1,339,"roca_Sprite, 30, Boton volPiedra, Player 0","2020-11-24 14:27:16.639237"
197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,3,342,"Final del nivel","2020-11-24 14:27:19.103099"
197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,3,342,"Puntaje Total: -20860","2020-11-24 14:28:14.480806"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,0,0,"Inicio del nivel,Player 1: Claudio, Player2: Martina","2020-11-24 14:28:14.681631"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,6,"Boton0,Set to TRUE, Player 0","2020-11-24 14:32:45.911673"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,13,"Boton2,Set to TRUE, Player 0","2020-11-24 14:32:53.442696"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,16,"Boton3,Set to TRUE, Player 1","2020-11-24 14:32:55.552893"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,24,"Boton5,Set to TRUE, Player 0","2020-11-24 14:33:04.640999"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,25,"Boton5,Set to FALSE, Player 0","2020-11-24 14:33:05.288860"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,27,"Boton4,Set to TRUE, Player 0","2020-11-24 14:33:07.418177"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,29,"Boton4,Set to FALSE, Player 0","2020-11-24 14:33:08.585956"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,30,"Boton5,Set to TRUE, Player 0","2020-11-24 14:33:10.280431"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,30,"Boton6,Set to TRUE, Player 1","2020-11-24 14:33:10.695139"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,30,"Boton5,Set to TRUE, Player 0","2020-11-24 14:33:10.695721"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,1,34,"Boton7,Set to TRUE, Player 1","2020-11-24 14:33:14.002534"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,3,34,"Final del nivel","2020-11-24 14:33:14.031536"
197299339,438DC9D14338F573DC26468409B2CE90,Union_Interseccion,3,34,"Puntaje Total: -33020","2020-11-24 14:34:11.195329"
195160872,A1BF1E364B87601F04918890B5F7F8BB,Densidad_de_Objetos,0,0,"Inicio del nivel,Player 1: zeus, Player2: drakar","2020-11-24 20:56:04.102259"
195160872,A1BF1E364B87601F04918890B5F7F8BB,Densidad_de_Objetos,1,13,"rocaOro_Sprite, 50, Boton volOro, Player 0","2020-11-24 20:57:13.810561"
195160872,A1BF1E364B87601F04918890B5F7F8BB,Densidad_de_Objetos,1,17,"roca_Sprite, 30, Boton volDiamante, Player 0","2020-11-24 20:57:25.894909"
195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,0,0,"Inicio del nivel,Player 1: david, Player2: nicolas","2020-11-24 23:00:47.592594"
195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,1,58,"rocaAcero_Sprite, 70, Boton volAcero, Player 1","2020-11-24 23:04:28.502133"
195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,1,58,"rocaOro_Sprite, 50, Boton volOro, Player 0","2020-11-24 23:04:28.653171"
195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,1,78,"rocaDiamante_Sprite, 100, Boton volDiamante, Player 1","2020-11-24 23:05:26.491947"
195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,3,81,"Final del nivel","2020-11-24 23:05:33.046456"
195160872,851F701A4766648978D194808D6E27D4,Densidad_de_Objetos,3,81,"Puntaje Total: 6060","2020-11-24 23:06:05.548496"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,0,0,"Inicio del nivel,Player 1: david, Player2: nicolas","2020-11-24 23:06:05.850037"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,43,"Boton0,Set to TRUE, Player 0","2020-11-24 23:08:10.936820"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,6,"Boton3,Set to TRUE, Player 1","2020-11-24 23:08:30.071002"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,7,"Boton2,Set to TRUE, Player 0","2020-11-24 23:08:30.534852"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,14,"Boton7,Set to TRUE, Player 1","2020-11-24 23:08:51.616064"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,15,"Boton4,Set to TRUE, Player 0","2020-11-24 23:08:53.069718"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,1,24,"Boton6,Set to TRUE, Player 1","2020-11-24 23:09:18.654022"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,3,24,"Final del nivel","2020-11-24 23:09:18.667432"
195160872,851F701A4766648978D194808D6E27D4,Union_Interseccion,3,24,"Puntaje Total: 21560","2020-11-24 23:09:58.614252"
191147499,98301ED0441B6559E8B8BEBF10879B30,Densidad_de_Objetos,0,0,"Inicio del nivel,Player 1: pedro, Player2: lucho","2020-11-26 13:41:07.970276"
191147499,98301ED0441B6559E8B8BEBF10879B30,Densidad_de_Objetos,3,5,"Final del nivel","2020-11-26 13:42:05.697566"
191147499,98301ED0441B6559E8B8BEBF10879B30,Densidad_de_Objetos,3,5,"Puntaje Total: 12730","2020-11-26 13:43:16.331667"
191147499,98301ED0441B6559E8B8BEBF10879B30,Union_Interseccion,0,0,"Inicio del nivel,Player 1: pedro, Player2: lucho","2020-11-26 13:43:17.480610"
191147499,98301ED0441B6559E8B8BEBF10879B30,Union_Interseccion,1,1,"Boton0,Set to TRUE, Player 0","2020-11-26 13:43:46.396309"
191147499,98301ED0441B6559E8B8BEBF10879B30,Union_Interseccion,1,6,"Boton2,Set to TRUE, Player 0","2020-11-26 13:44:23.940137"
191147499,98301ED0441B6559E8B8BEBF10879B30,Union_Interseccion,1,8,"Boton3,Set to TRUE, Player 1","2020-11-26 13:44:34.591734"
191147499,98301ED0441B6559E8B8BEBF10879B30,Union_Interseccion,1,12,"Boton5,Set to TRUE, Player 0","2020-11-26 13:45:03.281857"
